id,label
0,salty snack
1,citrus fruit
2,flour
3,decalcifier
4,semi-finished bread
5,onions
6,ketchup
7,whole milk
8,grapes
9,bathroom cleaner
10,hygiene articles
11,pasta
12,spices
13,domestic eggs
14,preservation products
15,sugar
16,hamburger meat
17,brown bread
18,rubbing alcohol
19,root vegetables
20,salad dressing
21,cookware
22,house keeping products
23,finished products
24,detergent
25,cereals
26,male cosmetics
27,potato products
28,cocoa drinks
29,ice cream
30,jam
31,herbs
32,sausage
33,frozen chicken
34,flower soil/fertilizer
35,frankfurter
36,vinegar
37,light bulbs
38,canned beer
39,condensed milk
40,specialty chocolate
41,seasonal products
42,butter
43,shopping bags
44,cream
45,pork
46,meat spreads
47,tea
48,brandy
49,newspapers
50,tidbits
51,chewing gum
52,dessert
53,make up remover
54,chocolate
55,candles
56,liquor (appetizer)
57,chocolate marshmallow
58,frozen dessert
59,sparkling wine
60,artif. sweetener
61,red/blush wine
62,nut snack
63,waffles
64,curd
65,liver loaf
66,kitchen utensil
67,liquor
68,whisky
69,specialty bar
70,chicken
71,oil
72,soap
73,prosecco
74,hard cheese
75,dental care
76,rum
77,flower (seeds)
78,sauces
79,other vegetables
80,photo/film
81,Instant food products
82,beverages
83,ready soups
84,cream cheese 
85,mayonnaise
86,dog food
87,butter milk
88,abrasive cleaner
89,dishes
90,bottled beer
91,roll products 
92,skin care
93,pudding powder
94,baby cosmetics
95,soda
96,toilet cleaner
97,cooking chocolate
98,specialty vegetables
99,hair spray
100,liqueur
101,baking powder
102,misc. beverages
103,nuts/prunes
104,turkey
105,soups
106,mustard
107,coffee
108,kitchen towels
109,specialty fat
110,canned vegetables
111,softener
112,UHT-milk
113,female sanitary products
114,sliced cheese
115,cat food
116,processed cheese
117,honey
118,cake bar
119,cling film/bags
120,frozen vegetables
121,zwieback
122,spread cheese
123,margarine
124,white bread
125,pet care
126,canned fruit
127,beef
128,bags
129,instant coffee
130,organic products
131,fish
132,frozen fruits
133,candy
134,yogurt
135,rolls/buns
136,long life bakery product
137,snack products
138,pip fruit
139,bottled water
140,syrup
141,specialty cheese
142,packaged fruit/vegetables
143,white wine
144,whipped/sour cream
145,frozen meals
146,popcorn
147,meat
148,pickled vegetables
149,rice
150,napkins
151,organic sausage
152,fruit/vegetable juice
153,berries
154,soft cheese
155,frozen potato products
156,cleaner
157,pot plants
158,salt
159,tropical fruit
160,dish cleaner
161,pastry
162,frozen fish
163,ham
164,sweet spreads
165,curd cheese
166,canned fish
